Ensembl_ID,Protein_Accession,Gene,Gene_Description,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
ENSG00000124608,Q5JTZ9,AARS2,"alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]",2.173,-0.269,0.131,0.178,9.86E-04,4.07E-02,3.04E-01,1.05E-01
ENSG00000149313,Q9NRN7,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235],1.306,-0.030,-0.280,-0.096,5.44E-03,8.21E-01,1.94E-02,1.79E-01
ENSG00000008311,Q9UDR5,AASS,aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366],1.957,0.454,-0.508,-0.037,7.09E-04,3.29E-02,5.78E-02,7.06E-01
ENSG00000275700,A0A7P0T868,AATF,apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235],0.756,0.129,0.210,0.387,1.54E-03,2.01E-01,8.01E-02,3.17E-02
ENSG00000183044,H3BNQ7,ABAT,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23],-1.753,-0.061,-0.298,-1.099,7.39E-03,6.43E-01,2.68E-01,5.95E-02
ENSG00000107331,A0A087WXK5,ABCA2,ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32],-1.105,0.064,-0.169,-0.432,1.55E-02,9.54E-01,4.68E-01,1.59E-01
ENSG00000141338,O94911,ABCA8,ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38],-2.152,0.690,-2.305,-1.499,1.76E-02,1.37E-01,6.13E-02,8.30E-02
ENSG00000085563,P08183,ABCB1,ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40],3.696,-0.065,-0.167,-0.276,2.82E-06,3.17E-01,2.47E-01,8.93E-02
ENSG00000135776,Q9NRK6,ABCB10,ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41],0.588,0.106,0.211,0.006,3.16E-03,8.19E-01,3.66E-01,8.57E-01
ENSG00000073734,O95342,ABCB11,ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42],4.331,0.333,-0.094,-0.414,2.41E-03,5.18E-01,8.56E-01,3.18E-01
ENSG00000115657,Q9NP58,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47],-0.996,0.347,0.118,-0.167,2.11E-03,5.61E-02,5.52E-01,1.74E-01
ENSG00000131269,A0A087WW65,ABCB7,ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48],1.010,0.117,0.015,-0.009,3.78E-04,6.23E-01,9.11E-01,7.96E-01
ENSG00000197150,Q9NUT2,ABCB8,ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49],0.469,0.693,0.551,0.459,2.99E-02,1.05E-02,1.49E-01,1.20E-01
ENSG00000103222,I3L4X2,ABCC1,ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51],-0.924,0.159,0.079,-0.291,8.36E-03,5.61E-01,8.62E-01,1.56E-01
ENSG00000108846,O15438,ABCC3,ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54],-2.566,1.407,0.013,-0.708,4.83E-03,9.22E-02,9.26E-01,9.64E-02
ENSG00000125257,O15439,ABCC4,ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55],-0.343,0.428,-0.069,-0.081,2.21E-02,2.29E-01,7.55E-01,4.38E-01
ENSG00000101986,P33897,ABCD1,ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61],-1.274,0.111,-0.108,-0.483,3.44E-03,8.61E-01,4.18E-01,8.48E-02
ENSG00000117528,A0A3B3ITW3,ABCD3,ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67],-0.726,-0.027,-0.110,-0.086,2.95E-04,5.79E-01,1.31E-01,2.60E-01
ENSG00000119688,H0YJ82,ABCD4,ATP binding cassette subfamily D member 4 [Source:HGNC Symbol;Acc:HGNC:68],0.887,0.988,1.224,0.706,1.96E-02,2.89E-01,1.31E-01,5.65E-02
ENSG00000164163,P61221,ABCE1,ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69],-0.025,0.099,0.146,0.093,9.88E-01,2.30E-01,1.29E-01,2.04E-01
ENSG00000164163,H0Y990,ABCE1,ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69],-0.871,-0.241,-0.261,-0.050,4.32E-03,3.47E-01,3.20E-01,9.51E-01
ENSG00000204574,Q8NE71,ABCF1,ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70],0.523,0.315,0.244,0.060,1.29E-04,6.13E-03,2.49E-02,7.54E-01
ENSG00000033050,Q9UG63,ABCF2,ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71],-0.394,-0.074,0.117,0.062,6.51E-02,8.67E-01,3.65E-01,5.09E-01
ENSG00000161204,Q9NUQ8,ABCF3,ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72],-0.896,-0.272,-0.265,-0.328,7.83E-05,8.90E-02,2.90E-02,6.14E-02
ENSG00000144827,Q9NUJ1,ABHD10,"abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]",0.150,0.428,0.220,0.282,2.03E-01,2.01E-02,1.50E-01,1.52E-01
ENSG00000106077,C9J7Q4,ABHD11,abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407],0.533,0.213,0.464,0.378,1.35E-02,5.03E-01,2.22E-01,7.38E-02
ENSG00000100997,Q8N2K0,ABHD12,"abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]",-0.741,-0.341,-0.077,-0.086,4.54E-04,1.21E-02,4.25E-01,1.88E-01
ENSG00000114779,F8W9U3,ABHD14B,abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235],-2.611,0.376,0.005,-0.628,7.10E-04,4.55E-02,9.61E-01,5.71E-02
ENSG00000231488,A0A0G2JJD3,ABHD16A,"abhydrolase domain containing 16A, phospholipase [Source:HGNC Symbol;Acc:HGNC:13921]",-0.584,-0.332,-0.443,-0.171,1.14E-02,1.06E-01,6.95E-02,4.15E-01
ENSG00000011198,C9JBM3,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]",-2.020,0.271,1.151,0.730,7.15E-03,2.04E-01,1.51E-01,5.45E-02
ENSG00000163686,Q9BV23,ABHD6,"abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]",-0.575,-0.212,-0.057,0.129,6.30E-03,1.67E-01,7.07E-01,1.36E-01
ENSG00000136754,Q8IZP0,ABI1,abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320],-0.564,-0.099,-0.086,-0.268,1.20E-03,4.80E-01,3.29E-01,8.73E-02
ENSG00000138443,Q9NYB9,ABI2,abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011],0.348,-0.028,-0.343,-0.416,9.85E-03,7.83E-01,5.33E-02,1.20E-01
ENSG00000097007,P00519,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]",0.202,-0.775,-0.705,0.096,6.62E-01,7.26E-02,1.19E-01,9.93E-01
ENSG00000159842,Q12979,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81],0.010,-0.015,-0.054,-0.294,9.27E-01,8.49E-01,5.36E-01,5.53E-02
ENSG00000146386,Q9P1F3,ABRACL,ABRA C-terminal like [Source:HGNC Symbol;Acc:HGNC:21230],3.654,0.203,0.045,0.144,7.65E-03,4.13E-01,6.92E-01,3.26E-01
ENSG00000165660,Q15018,ABRAXAS2,"abraxas 2, BRISC complex subunit [Source:HGNC Symbol;Acc:HGNC:28975]",-0.838,0.150,0.347,-0.282,3.39E-03,3.38E-01,9.59E-02,1.80E-01
ENSG00000146109,Q9ULW3,ABT1,activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369],1.246,-0.047,0.525,0.306,1.62E-02,8.93E-01,7.22E-02,1.84E-01
ENSG00000166016,Q8N961,ABTB2,ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842],-0.411,-0.321,0.441,-0.714,5.74E-02,2.45E-01,9.39E-02,6.19E-02
ENSG00000060971,P09110,ACAA1,acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82],-1.638,-0.208,-0.259,-0.416,7.69E-04,1.32E-01,9.96E-02,5.67E-02
ENSG00000167315,P42765,ACAA2,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83],0.069,0.063,-0.194,-0.045,6.67E-01,7.88E-01,1.45E-01,4.88E-01
ENSG00000167315,K7ER88,ACAA2,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83],0.050,0.028,-0.606,-0.072,9.31E-01,9.77E-01,4.03E-02,4.86E-01
ENSG00000275176,Q13085,ACACA,acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84],0.607,0.197,0.020,-0.240,4.24E-04,5.06E-02,6.74E-01,7.49E-02
ENSG00000111271,Q6JQN1,ACAD10,acyl-CoA dehydrogenase family member 10 [Source:HGNC Symbol;Acc:HGNC:21597],0.207,0.032,-0.010,0.385,2.72E-01,8.91E-01,7.40E-01,9.34E-02
ENSG00000240303,Q709F0,ACAD11,acyl-CoA dehydrogenase family member 11 [Source:HGNC Symbol;Acc:HGNC:30211],-0.393,0.924,0.276,0.148,2.79E-01,1.40E-02,3.23E-01,4.64E-01
ENSG00000177646,Q9H845,ACAD9,acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497],0.379,0.390,0.151,0.301,4.97E-04,1.27E-02,9.81E-02,4.67E-02
ENSG00000117054,Q5T4U5,ACADM,acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89],1.164,0.027,-0.208,-0.074,5.43E-03,3.15E-01,6.71E-03,3.44E-01
ENSG00000122971,P16219,ACADS,acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90],1.389,0.396,0.191,-0.188,2.33E-02,2.96E-01,7.90E-01,3.03E-01
ENSG00000196177,P45954,ACADSB,acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91],1.074,0.122,-0.268,-0.448,1.24E-03,7.57E-01,2.35E-01,1.12E-01
ENSG00000072778,P49748,ACADVL,acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92],-1.002,-0.253,-0.364,-0.337,3.59E-04,3.61E-02,2.39E-02,4.07E-02
ENSG00000114331,Q15057,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]",-1.537,-0.119,-0.175,-0.209,9.42E-04,2.98E-01,1.85E-01,1.28E-01
ENSG00000131584,Q96P50,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]",-1.548,-0.017,0.274,0.429,7.72E-05,8.48E-01,3.73E-02,1.08E-01
ENSG00000075239,A0A5F9ZHL1,ACAT1,acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93],0.988,0.487,-0.146,-0.158,1.54E-03,7.64E-02,3.92E-01,3.19E-01
ENSG00000120437,Q9BWD1,ACAT2,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94],1.675,0.181,-0.178,-0.048,1.29E-05,1.65E-01,4.50E-01,9.87E-01
ENSG00000182827,Q9H3P7,ACBD3,acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453],-0.292,-0.064,-0.096,-0.070,2.38E-02,4.20E-01,1.29E-01,2.04E-01
ENSG00000107897,A0A7I2V2Y9,ACBD5,acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338],-0.915,-0.133,0.072,0.012,4.80E-05,6.00E-02,4.51E-01,9.75E-01
ENSG00000230124,Q9BR61,ACBD6,acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339],-0.213,0.020,0.145,-0.079,1.84E-01,8.72E-01,3.44E-01,7.60E-01
ENSG00000176244,Q8N6N7,ACBD7,acyl-CoA binding domain containing 7 [Source:HGNC Symbol;Acc:HGNC:17715],2.049,0.287,-0.033,0.421,7.49E-03,3.74E-01,6.30E-01,5.59E-01
ENSG00000100813,Q9UKV3,ACIN1,apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066],0.683,-0.232,-0.090,0.272,3.80E-03,3.92E-01,7.87E-01,1.42E-01
ENSG00000131473,P53396,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],-1.022,-0.455,-0.058,-0.490,9.68E-05,2.00E-03,2.09E-01,6.95E-03
ENSG00000122729,P21399,ACO1,aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117],0.538,0.416,0.033,-0.520,7.14E-04,5.38E-04,6.92E-01,4.63E-03
ENSG00000100412,A0A7I2V3F1,ACO2,aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118],0.648,-0.076,-0.208,-0.154,7.78E-04,3.95E-01,1.32E-01,1.66E-01
ENSG00000184227,Q86TX2,ACOT1,acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128],-0.706,-0.139,-0.790,-0.150,4.10E-04,7.30E-02,6.19E-03,6.85E-02
ENSG00000112304,Q9NPJ3,ACOT13,acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999],1.334,0.428,0.155,-0.069,3.62E-03,5.54E-02,1.35E-01,4.07E-01
ENSG00000097021,O00154,ACOT7,acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157],0.383,-0.299,0.279,-0.030,1.58E-03,3.39E-02,3.57E-02,8.06E-01
ENSG00000101473,O14734,ACOT8,acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919],-0.331,0.045,-0.062,-0.430,2.51E-01,9.18E-01,8.68E-01,3.22E-01
ENSG00000123130,Q9Y305,ACOT9,acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152],0.056,0.158,-0.053,0.165,6.40E-01,2.35E-01,5.62E-01,1.71E-01
ENSG00000161533,Q15067,ACOX1,acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119],-1.163,-0.355,0.050,-0.199,1.82E-04,2.40E-02,6.60E-01,6.83E-02
ENSG00000168306,Q99424,ACOX2,acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120],-3.086,0.041,-0.028,-0.281,1.10E-03,9.82E-01,6.91E-01,1.41E-01
ENSG00000087008,O15254,ACOX3,"acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]",-1.522,-0.192,-0.044,0.030,1.65E-03,2.16E-01,5.76E-01,9.23E-01
ENSG00000143727,P24666,ACP1,acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122],0.791,0.038,-0.022,-0.070,6.54E-05,7.92E-01,6.13E-01,1.76E-01
ENSG00000134575,A0A5F9ZHR7,ACP2,"acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]",-0.828,-0.123,0.038,-0.350,1.25E-02,4.35E-01,9.15E-01,1.38E-01
ENSG00000167107,Q96CM8,ACSF2,acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:HGNC:26101],0.599,-0.274,-0.385,-0.430,6.86E-02,3.39E-01,2.52E-01,1.90E-01
ENSG00000176715,A0A3B3ISK9,ACSF3,acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288],0.968,0.753,0.339,0.110,2.64E-03,1.84E-04,1.73E-01,4.79E-01
ENSG00000151726,P33121,ACSL1,acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569],-0.143,-0.010,0.136,-0.150,6.27E-02,8.62E-01,1.06E-01,5.34E-02
ENSG00000123983,A0A7P0TA76,ACSL3,acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570],-0.163,-0.158,-0.172,0.159,9.43E-03,3.70E-02,5.03E-02,4.08E-02
ENSG00000068366,O60488,ACSL4,acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571],-0.477,-0.591,-0.373,0.023,1.74E-03,1.01E-02,2.75E-02,7.59E-01
ENSG00000154930,Q9NUB1,ACSS1,acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091],0.625,1.207,-0.866,-0.507,4.39E-03,1.66E-03,6.40E-02,2.04E-01
ENSG00000131069,Q9NR19,ACSS2,acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814],-0.753,-0.578,-0.755,-0.708,2.18E-02,9.75E-02,7.22E-02,7.65E-02
ENSG00000107796,P62736,ACTA2,"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]",-1.615,-0.430,-0.305,-0.192,7.13E-03,1.64E-01,2.47E-01,3.26E-01
ENSG00000075624,A0A2R8Y793,ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132],-1.711,-0.440,-0.365,-0.142,5.22E-03,1.37E-01,1.81E-01,3.77E-01
ENSG00000075624,A0A6Q8PFE4,ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132],-1.951,-0.517,-0.753,-0.176,3.41E-03,1.22E-01,6.61E-02,4.13E-01
ENSG00000169067,Q562R1,ACTBL2,actin beta like 2 [Source:HGNC Symbol;Acc:HGNC:17780],-1.568,-0.338,-0.281,-0.300,5.36E-03,1.92E-01,2.39E-01,1.88E-01
ENSG00000184009,K7EM38,ACTG1,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144],-1.550,-0.784,-0.629,-0.127,4.10E-03,5.22E-02,9.23E-02,5.39E-01
ENSG00000136518,O96019,ACTL6A,actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124],0.685,-0.074,0.014,0.374,1.65E-03,8.21E-01,7.47E-01,5.85E-02
ENSG00000072110,P12814,ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163],-1.691,-1.685,-1.490,0.228,1.07E-02,3.61E-02,5.21E-02,7.13E-01
ENSG00000072110,A0A804HII9,ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163],-1.437,-0.276,-0.153,0.034,2.23E-03,1.36E-01,2.81E-01,9.07E-01
ENSG00000130402,O43707,ACTN4,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166],-1.018,-0.125,-0.124,-0.111,2.37E-03,2.97E-01,2.94E-01,2.82E-01
ENSG00000131966,Q9NZ32,ACTR10,actin related protein 10 [Source:HGNC Symbol;Acc:HGNC:17372],-0.736,-0.085,-0.037,0.028,3.84E-03,4.69E-01,6.83E-01,9.99E-01
ENSG00000138107,P61163,ACTR1A,actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167],-1.080,0.022,0.324,-0.203,1.20E-03,9.11E-01,7.58E-02,1.23E-01
ENSG00000115073,P42025,ACTR1B,actin related protein 1B [Source:HGNC Symbol;Acc:HGNC:168],-0.350,-0.054,-0.057,-0.258,3.82E-02,5.18E-01,6.53E-01,1.19E-01
ENSG00000138071,P61160,ACTR2,actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169],-1.476,-0.152,-0.004,-0.055,7.54E-04,2.06E-01,8.19E-01,4.77E-01
ENSG00000115091,P61158,ACTR3,actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170],-1.484,-0.213,-0.137,-0.033,4.99E-04,8.35E-02,1.75E-01,5.00E-01
ENSG00000115170,Q04771,ACVR1,activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171],-1.101,0.274,-0.275,-0.279,1.42E-04,2.70E-01,4.72E-02,4.07E-02
ENSG00000243989,Q03154,ACY1,aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177],-1.640,0.017,-0.005,-0.308,5.90E-04,9.88E-01,9.25E-01,7.89E-02
ENSG00000170634,U3KPX1,ACYP2,acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180],-0.053,-0.090,-0.285,-0.617,4.51E-01,4.88E-01,1.70E-01,5.34E-02
ENSG00000196839,P00813,ADA,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186],-1.008,0.340,-0.024,0.274,1.38E-02,2.85E-01,7.67E-01,3.25E-01
ENSG00000137845,O14672,ADAM10,ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188],-0.972,-0.266,-0.128,-0.430,4.25E-04,2.48E-02,1.36E-01,2.04E-02
ENSG00000143537,Q13444,ADAM15,ADAM metallopeptidase domain 15 [Source:HGNC Symbol;Acc:HGNC:193],-0.264,0.049,0.233,-0.266,4.06E-01,8.44E-01,4.19E-01,4.43E-01
ENSG00000151694,P78536,ADAM17,ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195],-1.280,0.072,0.059,-0.537,6.27E-03,8.38E-01,8.73E-01,9.48E-02
ENSG00000168615,Q13443,ADAM9,ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216],-1.068,0.027,-0.194,-0.393,4.66E-03,9.46E-01,2.63E-01,9.82E-02
ENSG00000154734,Q9UHI8,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217],-0.709,0.702,-0.198,-1.467,4.60E-02,6.71E-02,4.09E-01,5.86E-02
ENSG00000140470,H3BV94,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109],2.989,0.489,-1.511,0.083,4.47E-03,3.04E-01,6.55E-02,9.95E-01
ENSG00000178031,A0A7P0T9B9,ADAMTSL1,ADAMTS like 1 [Source:HGNC Symbol;Acc:HGNC:14632],-1.076,0.602,-0.477,-1.110,2.36E-02,7.48E-02,2.17E-01,7.38E-02
ENSG00000160710,A0A3B3IRQ9,ADAR,adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225],0.414,0.086,0.099,0.106,8.80E-04,3.00E-01,2.46E-01,2.32E-01
ENSG00000197381,P78563,ADARB1,adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226],-0.023,0.624,0.717,0.259,6.23E-01,7.36E-02,5.17E-02,4.97E-01
ENSG00000174233,O43306,ADCY6,adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237],-0.077,0.108,-0.337,-0.265,4.86E-01,8.38E-01,1.99E-01,2.20E-01
ENSG00000121281,P51828,ADCY7,adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238],-1.128,0.823,0.836,0.066,7.91E-03,4.61E-02,3.83E-02,9.79E-01
ENSG00000162104,O60503,ADCY9,adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240],-1.103,-0.574,-1.668,-1.395,1.26E-02,1.11E-01,2.90E-02,4.69E-02
ENSG00000087274,E7ENY0,ADD1,adducin 1 [Source:HGNC Symbol;Acc:HGNC:243],-0.686,0.094,-0.275,-0.691,7.91E-03,7.27E-01,1.40E-01,4.69E-02
ENSG00000075340,P35612,ADD2,adducin 2 [Source:HGNC Symbol;Acc:HGNC:244],1.270,0.615,-0.296,-0.225,6.10E-04,3.86E-02,4.97E-01,6.05E-01
ENSG00000148700,Q9UEY8,ADD3,adducin 3 [Source:HGNC Symbol;Acc:HGNC:245],-1.350,0.050,-0.335,-0.871,7.14E-03,9.70E-01,2.00E-01,6.49E-02
ENSG00000111452,Q6QNK2,ADGRD1,adhesion G protein-coupled receptor D1 [Source:HGNC Symbol;Acc:HGNC:19893],-0.744,3.591,1.454,-0.656,3.07E-02,1.84E-04,4.00E-02,9.96E-02
ENSG00000123146,P48960,ADGRE5,adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711],-2.638,-0.006,-0.318,-0.106,8.79E-04,7.19E-01,1.94E-01,7.96E-01
ENSG00000197894,P11766,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]",-1.978,0.151,-0.285,-0.359,6.92E-04,3.95E-01,9.39E-02,6.94E-02
ENSG00000182551,Q9BV57,ADI1,acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576],0.020,0.183,0.014,-0.082,9.73E-01,8.61E-02,9.67E-01,2.59E-01
ENSG00000159346,C9J0W7,ADIPOR1,adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040],-0.606,-0.970,-1.034,-0.833,1.32E-01,1.45E-01,1.45E-01,1.50E-01
ENSG00000101220,Q9GZN8,ADISSP,adipose secreted signaling protein [Source:HGNC Symbol;Acc:HGNC:15873],-0.248,-0.287,-0.854,0.010,2.84E-01,8.39E-02,2.19E-02,8.40E-01
